category,skills,E
HR,"recruitment, hr policies, onboarding, test cases",7.2
Data Scientist,"python, statistics, sql, ml",7.4
Software Engineer,"react, c++, rest, microservices, python, java",0
Product Manager,"user research, agile, communication, analytics, prioritization, stakeholder, employee relations",2.8
Business Analyst,"reporting, data visualization, excel, sql, requirement gathering",0.7
DevOps Engineer,"monitoring, bash, terraform, aws",7.3
Product Manager,"sql, wireframing, communication, prioritization, analytics, data structures",1.5
Product Manager,"roadmap, pricing, sql",1.8
Data Scientist,"deep learning, numpy, nlp, pandas, scikit-learn, data visualization",6.4
Software Engineer,"docker, nodejs, sql, rest",2.2
Product Manager,"prioritization, pricing, stakeholder, agile, sql, communication",3.2
Software Engineer,"python, microservices, data structures, java, rest, git",4.8
Data Scientist,"tensorflow, nlp, pandas, kubernetes",7
Business Analyst,"powerbi, reporting, data visualization, stakeholder",1.9
UI/UX Designer,"prototyping, adobe xd, usability testing, user research, figma, wireframing",4.1
QA Engineer,"test cases, bug tracking, postman, selenium, manual testing",1.5
Product Manager,"prioritization, agile, analytics, communication, wireframing, user research",4.8
Software Engineer,"git, microservices, sql, react, java, nodejs",7.6
Marketing,"google ads, analytics, seo, figma",3.8
Marketing,"campaign, seo, email marketing, social media, google ads, analytics",3.2
DevOps Engineer,"kubernetes, ci/cd, monitoring, ansible, docker, jenkins, requirement gathering",2.7
Data Scientist,"ml, keras, tensorflow",5.3
Software Engineer,"algorithms, data structures, sql, c++, docker, react",6
Marketing,"email marketing, analytics, campaign, content, social media",3.6
Software Engineer,"nodejs, react, java, algorithms, git, sql, recruitment",6.2
Product Manager,"communication, roadmap, stakeholder, wireframing, sql, pricing, data visualization",6.4
Marketing,"email marketing, analytics, branding, social media",2.4
Software Engineer,"sql, nodejs, c++, data structures, python, java, account management",9
Sales,"account management, closing deals, lead generation, roadmap",3.6
Data Scientist,"ml, statistics, nlp, numpy, python",2.4
Software Engineer,"data structures, python, sql",0.2
Software Engineer,"rest, microservices, java",0.8
Software Engineer,"sql, nodejs, rest, python, algorithms, cold calling",5.9
Software Engineer,"c++, data structures, microservices, git, react",0.4
Software Engineer,"react, rest, sql, microservices, data structures, python",4.6
Marketing,"email marketing, content, branding, google ads",3.6
Business Analyst,"stakeholder, tableau, requirement gathering",2.6
Sales,"crm, salesforce, negotiation, account management, cold calling",4
HR,"employee relations, onboarding, recruitment, hr policies, talent acquisition, interviewing",3.4
UI/UX Designer,"responsive design, figma, wireframing, html, adobe xd, prototyping",5.9
UI/UX Designer,"wireframing, adobe xd, css",5.1
Sales,"lead generation, crm, negotiation, salesforce, account management, r",4.2
QA Engineer,"performance testing, bug tracking, pytest, email marketing",5.6
Software Engineer,"java, sql, git",3.2
UI/UX Designer,"wireframing, css, adobe xd, html, responsive design, usability testing",5.1
UI/UX Designer,"user research, figma, wireframing, usability testing, html",2
Business Analyst,"excel, tableau, stakeholder, reporting, requirement gathering",6.5
DevOps Engineer,"jenkins, bash, ci/cd",1.7
QA Engineer,"automation, postman, bug tracking, selenium",3.4
Marketing,"analytics, branding, google ads, content, social media, python",1
Product Manager,"pricing, prioritization, communication, agile, analytics, user research",4.6
UI/UX Designer,"user research, wireframing, html, responsive design, prototyping, css",6.5
UI/UX Designer,"prototyping, responsive design, wireframing, user research, html, adobe xd",3.4
QA Engineer,"pytest, performance testing, selenium",0
Marketing,"analytics, seo, email marketing, google ads, deep learning",0
Software Engineer,"python, docker, microservices, nodejs, recruitment",2.7
QA Engineer,"performance testing, test cases, selenium, pytest, automation",5.3
Sales,"salesforce, negotiation, lead generation, crm",2.3
Product Manager,"agile, stakeholder, communication, pricing, prioritization",0
UI/UX Designer,"figma, adobe xd, wireframing, user research, html, responsive design",2.2
Marketing,"google ads, content, social media, email marketing, campaign",5.7
QA Engineer,"postman, test cases, performance testing, manual testing, pytest",6.1
Product Manager,"communication, pricing, analytics",6.1
Sales,"lead generation, negotiation, crm, salesforce, closing deals, account management, recruitment",13.1
Software Engineer,"react, rest, data structures",5.7
HR,"payroll, interviewing, talent acquisition, onboarding",0.7
HR,"talent acquisition, onboarding, interviewing, employee relations",4.9
Software Engineer,"python, rest, c++",5.4
Product Manager,"stakeholder, analytics, communication, pricing",5.6
Business Analyst,"reporting, sql, powerbi",7.1
UI/UX Designer,"adobe xd, figma, responsive design, wireframing",3.9
HR,"interviewing, onboarding, hr policies, payroll, recruitment, user research",1.6
DevOps Engineer,"terraform, bash, monitoring",4.7
UI/UX Designer,"responsive design, html, user research, adobe xd, usability testing",0.3
Sales,"cold calling, account management, crm, closing deals, salesforce, negotiation, kubernetes",2
Business Analyst,"sql, reporting, powerbi, stakeholder, tableau, excel",1.9
Product Manager,"wireframing, analytics, roadmap, sql",3.7
Product Manager,"stakeholder, user research, agile, pricing, prioritization",5.1
Data Scientist,"scikit-learn, keras, tensorflow, deep learning, pandas, r, closing deals",1.9
DevOps Engineer,"docker, terraform, monitoring, aws, data visualization",2.7
HR,"recruitment, hr policies, interviewing, employee relations, payroll, talent acquisition",10.1
Sales,"closing deals, account management, cold calling, salesforce, negotiation",3.3
Business Analyst,"excel, sql, data visualization",4.7
Product Manager,"sql, wireframing, user research, analytics, agile, pricing",7.5
Marketing,"seo, content, email marketing",4.3
Sales,"salesforce, lead generation, crm",4.4
Software Engineer,"algorithms, nodejs, rest, sql, data structures, microservices, seo",2.8
Product Manager,"agile, analytics, communication",4.4
QA Engineer,"selenium, performance testing, manual testing",6.1
Product Manager,"agile, prioritization, stakeholder, roadmap, analytics, pricing",6.9
Product Manager,"agile, user research, pricing, communication, wireframing, analytics",0
UI/UX Designer,"responsive design, html, adobe xd",5.9
Sales,"salesforce, lead generation, closing deals, crm, account management, sql",1.8
QA Engineer,"automation, postman, selenium, pytest, test cases",2.3
Data Scientist,"r, keras, tensorflow, numpy, interviewing",5.9
Product Manager,"wireframing, prioritization, pricing, stakeholder, agile, roadmap",9.4
DevOps Engineer,"bash, ansible, terraform, kubernetes, jenkins",7.9
DevOps Engineer,"terraform, linux, ci/cd",2.9
Marketing,"branding, analytics, google ads",0.5
Software Engineer,"data structures, python, microservices",9.2
Marketing,"analytics, google ads, seo, social media, onboarding",3.8
